sequence,method,coverage,coverage_error,quantile,median_log_6d_volume,mean_log_6d_volume,target_coverage,n_fit,n_calibration,n_test,covariance_frame,body_point
OV_MH_03_medium,Independent t/r blocks,0.24610244988864144,-0.6538975501113586,5.136502876103523,-12.989932449911413,-12.98993244991141,0.9,673,674,898,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Independent axis scales,0.0,-0.9,4.452886015926699,-13.143816909765421,-13.143816909765427,0.9,673,674,898,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,OpenVINS covariance,0.3704866562009419,-0.5295133437990581,12.264705706094162,-8.405606200452816,-8.717020968488166,0.9,477,477,637,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Empirical full 6D,0.3751962323390895,-0.5248037676609105,10.67051419318323,-6.703705320089316,-6.703705320089313,0.9,477,477,637,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent t/r blocks,0.2857142857142857,-0.6142857142857143,9.29993645864527,-6.362340748333793,-6.362340748333792,0.9,477,477,637,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent axis scales,0.3893249607535322,-0.5106750392464678,7.081211356685817,-7.3569420582121765,-7.356942058212177,0.9,477,477,637,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,OpenVINS covariance,1.0,0.09999999999999998,29.304409222207575,-3.8050368194265367,-4.103218599701476,0.9,541,542,723,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Empirical full 6D,0.5573997233748271,-0.3426002766251729,8.865253638318489,-9.080878162334823,-9.080878162334827,0.9,541,542,723,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent t/r blocks,0.1991701244813278,-0.7008298755186723,6.931689895979557,-9.92264922116121,-9.92264922116121,0.9,541,542,723,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent axis scales,0.18948824343015214,-0.7105117565698479,6.057597898696181,-8.96633494882116,-8.966334948821158,0.9,541,542,723,position_world_rotation_body,"[3.0, 0.0, 0.0]"
