sequence,method,coverage,coverage_error,quantile,median_log_6d_volume,mean_log_6d_volume,target_coverage,n_fit,n_calibration,n_test,covariance_frame,body_point
OV_MH_01_easy,OpenVINS covariance,0.2696629213483146,-0.6303370786516854,30.017264699830662,-4.864642096894261,-4.701270765658979,0.9,800,801,1068,world,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Empirical full 6D,0.0,-0.9,12.022923458705208,-10.208595586512253,-10.208595586512251,0.9,800,801,1068,world,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Independent t/r blocks,0.0,-0.9,11.411917731376326,-9.906735545668287,-9.906735545668285,0.9,800,801,1068,world,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Independent axis scales,0.060861423220973786,-0.8391385767790263,7.053749012738517,-11.980903044659597,-11.980903044659597,0.9,800,801,1068,world,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,OpenVINS covariance,0.9559322033898305,0.055932203389830515,38.10949869921306,-3.0178616453233857,-2.9847524323515287,0.9,663,664,885,world,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Empirical full 6D,0.09830508474576272,-0.8016949152542373,8.78425217990079,-12.808745997238928,-12.808745997238926,0.9,663,664,885,world,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Independent t/r blocks,0.16045197740112993,-0.7395480225988701,7.242190013190097,-12.634059222057797,-12.634059222057799,0.9,663,664,885,world,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Independent axis scales,0.3502824858757062,-0.5497175141242938,5.009421041935044,-12.51168413526659,-12.511684135266588,0.9,663,664,885,world,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,OpenVINS covariance,0.9888641425389755,0.08886414253897545,32.631945624176396,-4.688809237602875,-4.644380344159265,0.9,673,674,898,world,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Empirical full 6D,0.2594654788418708,-0.6405345211581293,6.677162024391792,-12.335423063106946,-12.33542306310695,0.9,673,674,898,world,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Independent t/r blocks,0.24610244988864144,-0.6538975501113586,5.136502876103523,-12.989932449911413,-12.98993244991141,0.9,673,674,898,world,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Independent axis scales,0.0,-0.9,4.452886015926699,-13.143816909765421,-13.143816909765427,0.9,673,674,898,world,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,OpenVINS covariance,0.2904238618524333,-0.6095761381475667,45.137807267318976,-0.5876391336646734,-0.8990539017000356,0.9,477,477,637,world,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Empirical full 6D,0.3751962323390895,-0.5248037676609105,10.67051419318323,-6.703705320089316,-6.703705320089313,0.9,477,477,637,world,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent t/r blocks,0.2857142857142857,-0.6142857142857143,9.29993645864527,-6.362340748333793,-6.362340748333792,0.9,477,477,637,world,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent axis scales,0.3893249607535322,-0.5106750392464678,7.081211356685817,-7.3569420582121765,-7.356942058212177,0.9,477,477,637,world,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,OpenVINS covariance,0.5089903181189488,-0.39100968188105123,28.414722406192578,-3.9900203274432613,-4.288202107718202,0.9,541,542,723,world,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Empirical full 6D,0.5573997233748271,-0.3426002766251729,8.865253638318489,-9.080878162334823,-9.080878162334827,0.9,541,542,723,world,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent t/r blocks,0.1991701244813278,-0.7008298755186723,6.931689895979557,-9.92264922116121,-9.92264922116121,0.9,541,542,723,world,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent axis scales,0.18948824343015214,-0.7105117565698479,6.057597898696181,-8.96633494882116,-8.966334948821158,0.9,541,542,723,world,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,OpenVINS covariance,0.7017543859649122,-0.19824561403508778,73.78927562079289,-0.40151321280584185,-0.30998592913481837,0.9,811,812,1083,world,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Empirical full 6D,0.6989843028624192,-0.20101569713758083,5.549358575708096,-16.352779592204094,-16.35277959220409,0.9,811,812,1083,world,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Independent t/r blocks,0.4164358264081256,-0.4835641735918744,4.296695416657485,-17.447949274092224,-17.447949274092224,0.9,811,812,1083,world,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Independent axis scales,0.5069252077562327,-0.3930747922437673,3.1866579716760817,-18.50970944470344,-18.509709444703443,0.9,811,812,1083,world,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,OpenVINS covariance,1.0,0.09999999999999998,93.52570527876189,0.9621143321973911,0.9776654685090392,0.9,456,457,609,world,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Empirical full 6D,0.8472906403940886,-0.05270935960591139,5.591186979525611,-15.543854592178395,-15.543854592178397,0.9,456,457,609,world,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Independent t/r blocks,0.39080459770114945,-0.5091954022988505,5.048822635258198,-15.774917849537397,-15.774917849537397,0.9,456,457,609,world,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Independent axis scales,0.45320197044334976,-0.44679802955665027,4.8279255597700725,-15.243641732797663,-15.243641732797668,0.9,456,457,609,world,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,OpenVINS covariance,0.7308707124010554,-0.16912928759894463,106.32043730551133,2.2170162771779545,2.002540294438355,0.9,568,569,758,world,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Empirical full 6D,0.3641160949868074,-0.5358839050131926,5.390240701905258,-12.44305834108346,-12.443058341083459,0.9,568,569,758,world,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Independent t/r blocks,0.31266490765171506,-0.587335092348285,4.774913409676723,-12.575409008701415,-12.575409008701413,0.9,568,569,758,world,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Independent axis scales,0.45646437994722955,-0.4435356200527705,3.1043845379833495,-14.4197776955579,-14.419777695557901,0.9,568,569,758,world,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,OpenVINS covariance,0.998792270531401,0.09879227053140094,74.62051874557874,-0.2798608123118722,-0.2218190234818446,0.9,621,621,828,world,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Empirical full 6D,0.10628019323671498,-0.793719806763285,8.143804846795767,-12.416945165625869,-12.416945165625867,0.9,621,621,828,world,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Independent t/r blocks,1.0,0.09999999999999998,4.749841386570359,-14.30693847756645,-14.306938477566455,0.9,621,621,828,world,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Independent axis scales,0.7717391304347826,-0.12826086956521743,4.900735302271515,-13.407677817525766,-13.407677817525766,0.9,621,621,828,world,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,OpenVINS covariance,0.5288888888888889,-0.37111111111111117,47.21764283407678,-3.0972413579207174,-3.1183554137721283,0.9,674,675,900,world,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Empirical full 6D,0.08444444444444445,-0.8155555555555556,3.6334247541206404,-18.09551218943531,-18.09551218943531,0.9,674,675,900,world,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Independent t/r blocks,0.2311111111111111,-0.6688888888888889,3.5503066423788474,-17.537488935067756,-17.537488935067756,0.9,674,675,900,world,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Independent axis scales,0.06666666666666667,-0.8333333333333334,3.079846003576984,-17.73982355791832,-17.739823557918324,0.9,674,675,900,world,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,OpenVINS covariance,0.8988603988603988,-0.0011396011396012096,56.060701573694864,-1.5492569030947312,-1.533566604181073,0.9,526,527,702,world,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Empirical full 6D,0.4700854700854701,-0.42991452991452994,8.73027778434989,-11.564137448424995,-11.564137448424999,0.9,526,527,702,world,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Independent t/r blocks,0.27635327635327633,-0.6236467236467237,6.803377522569733,-11.719933840347203,-11.719933840347204,0.9,526,527,702,world,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Independent axis scales,0.24786324786324787,-0.6521367521367522,6.645263417355867,-11.52458246500904,-11.524582465009042,0.9,526,527,702,world,"[3.0, 0.0, 0.0]"
