sequence,method,coverage,coverage_error,quantile,median_log_6d_volume,mean_log_6d_volume,target_coverage,n_fit,n_calibration,n_test,covariance_frame,body_point
OV_MH_01_easy,OpenVINS covariance,1.0,0.09999999999999998,31.11257321679629,-4.649606207750729,-4.486234876515432,0.9,800,801,1068,body,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Empirical full 6D,0.0,-0.9,12.022923458705208,-10.208595586512253,-10.208595586512251,0.9,800,801,1068,body,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Independent t/r blocks,0.0,-0.9,11.411917731376326,-9.906735545668287,-9.906735545668285,0.9,800,801,1068,body,"[3.0, 0.0, 0.0]"
OV_MH_01_easy,Independent axis scales,0.060861423220973786,-0.8391385767790263,7.053749012738517,-11.980903044659597,-11.980903044659597,0.9,800,801,1068,body,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,OpenVINS covariance,0.8847457627118644,-0.015254237288135575,23.738514635520815,-5.858050094523993,-5.82494088155213,0.9,663,664,885,body,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Empirical full 6D,0.09830508474576272,-0.8016949152542373,8.78425217990079,-12.808745997238928,-12.808745997238926,0.9,663,664,885,body,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Independent t/r blocks,0.16045197740112993,-0.7395480225988701,7.242190013190097,-12.634059222057797,-12.634059222057799,0.9,663,664,885,body,"[3.0, 0.0, 0.0]"
OV_MH_02_easy,Independent axis scales,0.3502824858757062,-0.5497175141242938,5.009421041935044,-12.51168413526659,-12.511684135266588,0.9,663,664,885,body,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,OpenVINS covariance,0.7928730512249443,-0.10712694877505569,15.83259311489346,-9.028135627831823,-8.983706734387804,0.9,673,674,898,body,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Empirical full 6D,0.2594654788418708,-0.6405345211581293,6.677162024391792,-12.335423063106946,-12.33542306310695,0.9,673,674,898,body,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Independent t/r blocks,0.24610244988864144,-0.6538975501113586,5.136502876103523,-12.989932449911413,-12.98993244991141,0.9,673,674,898,body,"[3.0, 0.0, 0.0]"
OV_MH_03_medium,Independent axis scales,0.0,-0.9,4.452886015926699,-13.143816909765421,-13.143816909765427,0.9,673,674,898,body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,OpenVINS covariance,0.39717425431711145,-0.5028257456828886,13.10839226839689,-8.006444359726014,-8.317859127761366,0.9,477,477,637,body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Empirical full 6D,0.3751962323390895,-0.5248037676609105,10.67051419318323,-6.703705320089316,-6.703705320089313,0.9,477,477,637,body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent t/r blocks,0.2857142857142857,-0.6142857142857143,9.29993645864527,-6.362340748333793,-6.362340748333792,0.9,477,477,637,body,"[3.0, 0.0, 0.0]"
OV_MH_04_difficult,Independent axis scales,0.3893249607535322,-0.5106750392464678,7.081211356685817,-7.3569420582121765,-7.356942058212177,0.9,477,477,637,body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,OpenVINS covariance,1.0,0.09999999999999998,29.294436290715645,-3.807079098212256,-4.105260878487196,0.9,541,542,723,body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Empirical full 6D,0.5573997233748271,-0.3426002766251729,8.865253638318489,-9.080878162334823,-9.080878162334827,0.9,541,542,723,body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent t/r blocks,0.1991701244813278,-0.7008298755186723,6.931689895979557,-9.92264922116121,-9.92264922116121,0.9,541,542,723,body,"[3.0, 0.0, 0.0]"
OV_MH_05_difficult,Independent axis scales,0.18948824343015214,-0.7105117565698479,6.057597898696181,-8.96633494882116,-8.966334948821158,0.9,541,542,723,body,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,OpenVINS covariance,0.9132040627885504,0.013204062788550353,125.24128821929021,2.7726594561241704,2.864186739795188,0.9,811,812,1083,body,"[3.0, 0.0, 0.0]"
