protocol,covariance_input,method,alpha,target_coverage,coverage_mean,coverage_std,absolute_coverage_gap_mean,median_log_6d_volume_mean,median_log_task_volume_m3_mean,rolling_coverage_mae_100_mean,longest_miss_streak_mean,folds,coverage_pooled
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.01,0.99,0.989279315275851,0.027917002934722338,0.014676476254407338,-10.858962902455715,-2.349689137652898,0.017706402098436217,14.545454545454545,11,0.9903169014084507
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.05,0.95,0.964547658406265,0.025843267469462607,0.024584907978398397,-12.378306920210308,-3.1093611465301936,0.03776446665358699,16.272727272727273,11,0.966637323943662
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.1,0.9,0.9330546876844866,0.032581780830176946,0.03973947576462356,-12.650567818507307,-3.245491595678694,0.05561903610623629,17.727272727272727,11,0.9362676056338028
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.2,0.8,0.8487519943307847,0.03912430545827951,0.057591217123495735,-12.874636016793442,-3.35752569482176,0.07607648763498293,22.272727272727273,11,0.8525088028169014
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.4,0.6,0.6236500001701262,0.03169843272535201,0.03226773902042312,-13.082043288331631,-3.4612293305908564,0.07067605861876403,37.0,11,0.6240757042253521
pooled_same_robot,empirical_full_6d,AgACI-EWA,0.5,0.5,0.4999497210748596,0.021850397595651175,0.013706836213420625,-13.189066915726022,-3.514741144288051,0.06577107566630745,47.81818181818182,11,0.49841549295774645
pooled_same_robot,openvins_full_6d,ACI,0.01,0.99,0.989344768448949,0.019141371669885013,0.011522947971505125,-2.479821359146897,4.611904448538285,0.016924354263978404,1.1818181818181819,11,0.9876760563380281
pooled_same_robot,openvins_full_6d,ACI,0.05,0.95,0.9484261519071445,0.04793300393531926,0.029282828636462224,-4.562169968528355,3.57674499897835,0.06082266842622139,8.272727272727273,11,0.9438380281690141
pooled_same_robot,openvins_full_6d,ACI,0.1,0.9,0.8976381313402253,0.05033929788273487,0.032285263570177275,-5.581491610957482,2.963610127408756,0.0902611850816961,19.454545454545453,11,0.892737676056338
pooled_same_robot,openvins_full_6d,ACI,0.2,0.8,0.7971521396598586,0.04307454294244924,0.029173743707402524,-6.159514819725941,2.6694327402042144,0.10839030928224096,37.54545454545455,11,0.7930897887323943
pooled_same_robot,openvins_full_6d,ACI,0.4,0.6,0.5974833940223756,0.022450575799357986,0.01810713069086054,-6.602238394490171,2.436368770282083,0.11201520536657075,67.18181818181819,11,0.5956866197183098
pooled_same_robot,openvins_full_6d,ACI,0.5,0.5,0.49730311031638424,0.015354364815207844,0.012963639407971543,-6.787652344305266,2.354935880426055,0.10943915218302097,83.36363636363636,11,0.4965669014084507
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.01,0.99,0.984840428036184,0.0435834679454474,0.019629785020662916,-3.8652213047974415,3.943540423887254,0.022561782475634572,1.6363636363636365,11,0.9808098591549296
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.05,0.95,0.9513912137116504,0.04532025107534387,0.025425346614962954,-5.526016483184201,3.0348755871405118,0.04383990530284481,8.363636363636363,11,0.9478873239436619
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.1,0.9,0.9097616035449282,0.04399129921853212,0.030416041494266407,-5.944399367875295,2.82955968524753,0.05725080881871099,11.909090909090908,11,0.9068661971830986
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.2,0.8,0.8275958808893812,0.038807474397177175,0.039945541576070734,-6.292998496793775,2.646963453906292,0.08111806624627356,26.545454545454547,11,0.8257922535211267
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.4,0.6,0.6208737927623514,0.04095685492401049,0.03782605299928418,-6.66197275472393,2.4561269746086043,0.09164976532950822,46.54545454545455,11,0.6169894366197183
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.5,0.5,0.49589863086587543,0.04423716460380201,0.022553498609556057,-6.80596406802692,2.3704018489252365,0.09742517712798363,75.63636363636364,11,0.4922975352112676
same_environment,empirical_full_6d,ACI,0.01,0.99,0.8260867431590814,0.33678121451242937,0.17128140663834876,-10.61645023698732,-1.7849046036865308,0.1757659461053162,296.27272727272725,11,0.800088028169014
same_environment,empirical_full_6d,ACI,0.05,0.95,0.8002649745092146,0.3284400009438261,0.1733671950721002,-11.494150634617116,-2.223754802501427,0.20141111921495988,307.6363636363636,11,0.774955985915493
same_environment,empirical_full_6d,ACI,0.1,0.9,0.7616693982451458,0.31445399269260377,0.1707133731339898,-12.121482201709325,-2.537420586047532,0.22006149679230988,317.0,11,0.7373679577464789
