protocol,covariance_input,method,alpha,target_coverage,coverage_mean,coverage_std,absolute_coverage_gap_mean,median_log_6d_volume_mean,median_log_task_volume_m3_mean,rolling_coverage_mae_100_mean,longest_miss_streak_mean,folds,coverage_pooled,task_volume_m3
cross_environment,openvins_full_6d,ACI,0.01,0.99,0.9872972599148916,0.021039066111726124,0.013530842939937358,-2.215270061648979,4.708967389309193,0.018849264629926473,1.0,11,0.9856514084507042,110.93754544438671
cross_environment,openvins_full_6d,ACI,0.05,0.95,0.947702174248423,0.05106745813027914,0.034484306729315434,-4.4556244865091434,3.620982115037195,0.062342647179987117,7.909090909090909,11,0.9433098591549296,37.37425562173492
cross_environment,openvins_full_6d,ACI,0.1,0.9,0.898284454630195,0.05295624944381811,0.03624810502964327,-5.536869156987991,3.0436589288651166,0.08753230491585856,18.818181818181817,11,0.8933978873239437,20.981874141021752
cross_environment,openvins_full_6d,ACI,0.2,0.8,0.7985770590151854,0.0447965060868202,0.03191098681991848,-6.1399792143420475,2.6880831364703535,0.10411881215920311,37.54545454545455,11,0.7944542253521126,14.703464355638246
cross_environment,openvins_full_6d,ACI,0.4,0.6,0.5990175147160189,0.02411714655064191,0.020144802835461596,-6.566358934447897,2.444693258193457,0.10341841914057458,63.81818181818182,11,0.5971390845070422,11.527013239626802
cross_environment,openvins_full_6d,ACI,0.5,0.5,0.49876247607246654,0.016841276134967654,0.015007944278886536,-6.746387897202859,2.3540038705666095,0.10009211944595044,78.0,11,0.4979753521126761,10.52763674798271
cross_environment,openvins_full_6d,AgACI-EWA,0.01,0.99,0.9808590766252828,0.04765037241363226,0.022769543484173524,-3.7113386526469596,4.003393958856796,0.026189026365982238,1.4545454545454546,11,0.9764524647887324,54.78376872093082
cross_environment,openvins_full_6d,AgACI-EWA,0.05,0.95,0.9457693764082833,0.04440018970625883,0.025613367266445496,-5.578018512667532,3.005288328894709,0.045269130163550254,7.090909090909091,11,0.9421214788732394,20.192037204519295
cross_environment,openvins_full_6d,AgACI-EWA,0.1,0.9,0.9044319144434607,0.04210332445704549,0.027565983369489514,-5.958121526757427,2.8325084127780933,0.06002474000645503,11.818181818181818,11,0.9017165492957746,16.98802039116848
cross_environment,openvins_full_6d,AgACI-EWA,0.2,0.8,0.8253656603742091,0.04232427067468995,0.0390815778405815,-6.282558435513647,2.66901374032022,0.07915572115696544,25.454545454545453,11,0.8237676056338028,14.425734654040411
cross_environment,openvins_full_6d,AgACI-EWA,0.4,0.6,0.6247555538882114,0.04052266973216791,0.04045131415159909,-6.6572227396035775,2.4555730342761106,0.09281550041466527,46.45454545454545,11,0.6217429577464789,11.653109267022403
cross_environment,openvins_full_6d,AgACI-EWA,0.5,0.5,0.4965273913524108,0.04372342633326553,0.0238951681639302,-6.793633806833977,2.369271293028242,0.08752112257620395,66.81818181818181,11,0.4926056338028169,10.689599859315951
pooled_same_robot,openvins_full_6d,ACI,0.01,0.99,0.989344768448949,0.019141371669885013,0.011522947971505125,-2.479821359146897,4.611904448538285,0.016924354263978404,1.1818181818181819,11,0.9876760563380281,100.6756988682179
pooled_same_robot,openvins_full_6d,ACI,0.05,0.95,0.9484261519071445,0.04793300393531926,0.029282828636462224,-4.562169968528355,3.57674499897835,0.06082266842622139,8.272727272727273,11,0.9438380281690141,35.75696226957923
pooled_same_robot,openvins_full_6d,ACI,0.1,0.9,0.8976381313402253,0.05033929788273487,0.032285263570177275,-5.581491610957482,2.963610127408756,0.0902611850816961,19.454545454545453,11,0.892737676056338,19.367765799163447
pooled_same_robot,openvins_full_6d,ACI,0.2,0.8,0.7971521396598586,0.04307454294244924,0.029173743707402524,-6.159514819725941,2.6694327402042144,0.10839030928224096,37.54545454545455,11,0.7930897887323943,14.431780301661368
pooled_same_robot,openvins_full_6d,ACI,0.4,0.6,0.5974833940223756,0.022450575799357986,0.01810713069086054,-6.602238394490171,2.436368770282083,0.11201520536657075,67.18181818181819,11,0.5956866197183098,11.43145504559962
