protocol,fold_id,test_environment,test_trajectory,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,n_test,coverage,absolute_coverage_gap,median_log_task_volume_m3,p90_log_task_volume_m3,mean_log_task_volume_m3,mean_radius,rolling_coverage_mae_100,longest_miss_streak
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,ACI,calibration_only,0.1,0.9,2669,0.9213188460097415,0.021318846009741432,3.0793849175119306,4.120323069344497,2.7432064753278316,22.833727658266653,0.08864591439688738,26
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,AgACI-EWA,calibration_only,0.1,0.9,2669,0.9584113900337204,0.05841139003372042,3.0007441431199338,4.1526441565834995,2.5078524178782833,21.474083034974228,0.06132684824902766,5
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,ACI,recent_100,0.1,0.9,2669,0.8400149868864744,0.059985013113525665,3.1739856253552396,4.265666495419087,2.684203303777281,22.633909284545314,0.14390661478599226,40
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,AgACI-EWA,recent_100,0.1,0.9,2669,0.8224053952791308,0.07759460472086921,3.0088448912655377,4.177681590042895,2.463222403912037,21.283512595956786,0.1391011673151751,33
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,ACI,recent_300,0.1,0.9,2669,0.8658673660547022,0.03413263394529786,3.300642979338331,4.255282551257237,2.791813072131316,23.334942373219164,0.14352529182879392,35
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,constant,AgACI-EWA,recent_300,0.1,0.9,2669,0.8628699887598351,0.037130011240164906,2.9706858433188197,4.141554629208609,2.4181244315407753,20.96393670694715,0.10378988326848258,34
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,ACI,calibration_only,0.1,0.9,2669,0.9261895841139003,0.026189584113900266,3.33423217219135,4.804850290221164,3.0992331635649273,28.870575609801502,0.06826848249027256,12
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2669,0.9662795054327463,0.0662795054327463,3.62024083971869,5.162014302819873,3.694298807867469,32.671071273869906,0.08577431906614823,10
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,ACI,recent_100,0.1,0.9,2669,0.8838516298239041,0.01614837017609594,3.2378936524417687,4.648666796890959,2.8986253893644642,25.21678912505846,0.09017120622568099,25
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,AgACI-EWA,recent_100,0.1,0.9,2669,0.8658673660547022,0.03413263394529786,3.0573824906841383,4.463600907664959,2.6351809778016198,22.892807064726885,0.07181712062256805,25
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,ACI,recent_300,0.1,0.9,2669,0.8853503184713376,0.014649681528662417,3.3687992149730874,5.090372114312862,3.054570357337812,26.376973274040154,0.11022178988326865,37
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance,AgACI-EWA,recent_300,0.1,0.9,2669,0.8879730236043462,0.012026976395653866,3.0952075894365896,4.548418834887465,2.6456491888846876,22.962190231845984,0.06428015564202337,25
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2669,0.9261895841139003,0.026189584113900266,3.3357448632273456,4.811601695777908,3.090876609559545,28.766005957205714,0.06765369649805465,10
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2669,0.9662795054327463,0.0662795054327463,3.605565500134322,5.182530032811204,3.6852497515915745,32.55486387676902,0.08531517509727661,10
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance_time,ACI,recent_100,0.1,0.9,2669,0.8842263019857625,0.015773698014237558,3.2384987655499353,4.644776849483713,2.8991148363561727,25.25033309841122,0.08940856031128411,25
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_01_easy,raw_openvins,loglinear_covariance_time,AgACI-EWA,recent_100,0.1,0.9,2669,0.8669913825402773,0.03300861745972272,3.057846033909856,4.467479318972757,2.6358968267663454,22.91068743306268,0.07077431906614781,25
