covariance_strategy,score_scale,method,feedback,alpha,pooled_coverage,cross_environment_coverage,worst_coverage,pooled_minimum_trajectory_coverage,cross_minimum_trajectory_coverage,worst_trajectory_coverage,pooled_volume_m3,cross_environment_volume_m3,worst_volume_m3,pooled_p90_volume_m3,cross_environment_p90_volume_m3,worst_rolling_mae,coverage_valid_1pct
diagonal_openvins,constant,AgACI-EWA,calibration_only,0.1,0.8940580985915493,0.8928257042253521,0.8928257042253521,0.7971014492753623,0.7855072463768116,0.7855072463768116,1.4937296500873802,1.477779060188042,1.4937296500873802,12.453036383580105,12.836919976170613,0.0502837274041198,True
correlation_shrink_0.75,constant,AgACI-EWA,calibration_only,0.1,0.8956426056338028,0.8929137323943662,0.8929137323943662,0.7961352657004831,0.7797101449275362,0.7797101449275362,1.5289942771386946,1.505483466643906,1.5289942771386946,12.570741025453634,12.916463627612892,0.05053338661592113,True
correlation_shrink_0.50,constant,AgACI-EWA,calibration_only,0.1,0.8943661971830986,0.8922975352112676,0.8922975352112676,0.7884057971014493,0.7758454106280194,0.7758454106280194,1.6647777461451758,1.6682352006478498,1.6682352006478498,12.952506104796388,13.251291804678488,0.052701999510619955,True
correlation_shrink_0.75,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9050616197183099,0.9005281690140845,0.9005281690140845,0.8085735402808574,0.8233665559246954,0.8085735402808574,1.2698040338860654,1.7587041667291365,1.7587041667291365,12.968628398186603,16.72037834776551,0.058455130801714,True
correlation_shrink_0.50,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.893705985915493,0.9150528169014085,0.893705985915493,0.7419712070874862,0.8842746400885936,0.7419712070874862,1.3701982666648085,1.9765809382553128,1.9765809382553128,13.444474287712698,20.63578931540885,0.07142894422058234,True
correlation_shrink_0.25,constant,AgACI-EWA,calibration_only,0.1,0.8944102112676057,0.8919014084507042,0.8919014084507042,0.7888888888888889,0.7676328502415459,0.7676328502415459,2.038837215760974,2.031011164889155,2.038837215760974,14.207199537001609,13.940178771720289,0.052904949458367476,True
correlation_shrink_0.50,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9040052816901408,0.9121919014084507,0.9040052816901408,0.7710144927536232,0.8765227021040974,0.7710144927536232,1.5455291654813939,2.152785997600242,2.152785997600242,15.530973431557126,19.181437300156833,0.05999258257361755,True
diagonal_openvins_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.8972711267605634,0.8919454225352113,0.8919454225352113,0.8299516908212561,0.7956521739130434,0.7956521739130434,1.7730341085981327,2.531262154778525,2.531262154778525,13.756826024175497,15.76024771066116,0.0491249335106418,True
correlation_shrink_0.75_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.8970510563380282,0.8903169014084507,0.8903169014084507,0.8342995169082126,0.7966183574879228,0.7966183574879228,1.8143104168659607,2.559563324642526,2.559563324642526,14.012191769922904,15.937184886192787,0.04878910815635373,True
correlation_shrink_0.25,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.901100352112676,0.9175176056338028,0.901100352112676,0.7835748792270532,0.8835748792270531,0.7835748792270532,1.9967530033432135,2.6777364709739704,2.6777364709739704,15.658168492706572,21.78763997769428,0.05912606497238259,True
correlation_shrink_0.25,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.8941021126760563,0.9059419014084507,0.8941021126760563,0.7419712070874862,0.751207729468599,0.7419712070874862,1.857695245867507,2.6940563111495925,2.6940563111495925,14.70375571914765,19.36711212017019,0.06759353714773078,True
diagonal_openvins,constant,ACI,calibration_only,0.1,0.8941461267605634,0.8910651408450704,0.8910651408450704,0.7685990338164251,0.7560386473429952,0.7560386473429952,2.697887703315503,2.6270822586331475,2.697887703315503,14.013372150676023,13.219806276493136,0.0857205337936906,True
correlation_shrink_0.75,constant,ACI,calibration_only,0.1,0.8937940140845071,0.8910211267605633,0.8910211267605633,0.7632850241545893,0.751207729468599,0.751207729468599,2.7382605051363127,2.708182211359878,2.7382605051363127,13.88516577471104,13.189951175093228,0.08638299101602251,True
diagonal_openvins_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.8951584507042254,0.8986355633802817,0.8951584507042254,0.7176644493717664,0.7575757575757576,0.7176644493717664,1.6721623935041081,2.82253270834971,2.82253270834971,14.920535724421576,18.41360407759188,0.05678964572128542,True
diagonal_openvins_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.8921214788732394,0.8985915492957747,0.8921214788732394,0.6899482631189948,0.7490761271249076,0.6899482631189948,1.5774368113265225,2.8603760211726357,2.8603760211726357,13.350636687202963,19.08535358740788,0.05894143056979712,True
correlation_shrink_0.50_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.8968309859154929,0.8915492957746479,0.8915492957746479,0.8391304347826087,0.8106280193236715,0.8106280193236715,2.0213990815047134,2.9196298375389342,2.9196298375389342,14.910082581820612,16.609285393299974,0.04904361578389994,True
correlation_shrink_0.50,constant,ACI,calibration_only,0.1,0.8937940140845071,0.8910211267605633,0.8910211267605633,0.7594202898550725,0.744927536231884,0.744927536231884,2.9925486092696367,2.9778950720489097,2.9925486092696367,14.376532897413263,13.705783823613174,0.0883739847315395,True
correlation_shrink_0.75_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.904137323943662,0.913512323943662,0.904137323943662,0.8089430894308943,0.8817442719881744,0.8089430894308943,1.7316725782295934,3.0309855002324344,3.0309855002324344,16.22907663972687,22.42461562812244,0.05058822238380422,True
correlation_shrink_0.75_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9042693661971831,0.9069982394366197,0.9042693661971831,0.811529933481153,0.8296378418329637,0.811529933481153,1.6750361822311075,3.154510322280086,3.154510322280086,15.445010239654511,24.31074148290123,0.049413707726135646,True
correlation_shrink_0.50_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.8919014084507042,0.9165492957746478,0.8919014084507042,0.6956521739130435,0.8974358974358975,0.6956521739130435,1.736173582283897,3.6598583716344253,3.6598583716344253,14.42045230985977,25.462850205406323,0.06171337802689243,True
correlation_shrink_0.25,constant,ACI,calibration_only,0.1,0.8943221830985916,0.8908890845070423,0.8908890845070423,0.7574879227053141,0.7338164251207729,0.7338164251207729,3.702006632947039,3.6640817805476114,3.702006632947039,15.504803588199989,14.9312548782897,0.09225082352558034,True
standardized_correlation,constant,AgACI-EWA,calibration_only,0.1,0.8975352112676056,0.8951144366197183,0.8951144366197183,0.7346637102734663,0.7069475240206947,0.7069475240206947,2.385336296730189,3.7168789536804137,3.7168789536804137,9.377377284907544,15.71976582434521,0.05851062508173708,True
correlation_shrink_0.50_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.8966549295774648,0.9187059859154929,0.8966549295774648,0.7048309178743961,0.8977323254779902,0.7048309178743961,1.80648080928939,3.903060988036485,3.903060988036485,16.275816155938017,23.063236070091875,0.061339987083500344,True
